"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 12, 2021","1.4772","1.4362","1.4923","1.3578","566.56M","2.87%"
"Jun 11, 2021","1.4360","1.5315","1.5451","1.4193","442.16M","-6.24%"
"Jun 10, 2021","1.5315","1.6249","1.6362","1.5085","420.71M","-5.74%"
"Jun 09, 2021","1.6248","1.5821","1.6329","1.4840","615.75M","2.50%"
"Jun 08, 2021","1.5851","1.5652","1.5946","1.4023","779.94M","1.33%"
"Jun 07, 2021","1.5644","1.6753","1.7409","1.5529","65.27M","-6.63%"
"Jun 06, 2021","1.6755","1.6580","1.7050","1.6463","275.21M","1.05%"
"Jun 05, 2021","1.6581","1.7091","1.7818","1.6115","473.63M","-2.98%"
"Jun 04, 2021","1.7090","1.8443","1.8475","1.6119","777.49M","-7.35%"
"Jun 03, 2021","1.8445","1.7531","1.8882","1.7171","550.63M","5.22%"
"Jun 02, 2021","1.7531","1.7352","1.8025","1.7192","512.66M","1.03%"
"Jun 01, 2021","1.7352","1.7399","1.7779","1.6570","688.49M","-0.28%"
"May 31, 2021","1.7400","1.5757","1.7490","1.5280","694.83M","10.42%"
"May 30, 2021","1.5758","1.4015","1.6874","1.3517","954.14M","12.44%"
"May 29, 2021","1.4014","1.5123","1.5594","1.3354","709.80M","-7.33%"
"May 28, 2021","1.5122","1.6452","1.6753","1.4525","1.01B","-8.08%"
"May 27, 2021","1.6452","1.7781","1.7837","1.6100","699.09M","-7.47%"
"May 26, 2021","1.7780","1.5520","1.8280","1.5520","1.09B","14.56%"
"May 25, 2021","1.5521","1.5475","1.6484","1.4375","1.05B","0.31%"
"May 24, 2021","1.5473","1.3150","1.5957","1.2663","1.36B","17.65%"
"May 23, 2021","1.3152","1.4630","1.5371","1.0526","1.89B","-10.11%"
"May 22, 2021","1.4631","1.5476","1.5975","1.3689","1.11B","-5.46%"
"May 21, 2021","1.5476","1.8033","1.8661","1.3247","1.51B","-14.18%"
"May 20, 2021","1.8033","1.4718","1.9394","1.3324","1.82B","22.53%"
"May 19, 2021","1.4717","2.0055","2.0269","1.0231","2.94B","-26.62%"
"May 18, 2021","2.0057","2.0313","2.1462","1.9729","798.42M","-1.27%"
"May 17, 2021","2.0314","2.3003","2.3259","1.9215","1.49B","-11.69%"
"May 16, 2021","2.3003","2.1721","2.4601","2.0167","1.53B","5.91%"
"May 15, 2021","2.1720","2.0058","2.3727","1.9712","1.83B","8.30%"
"May 14, 2021","2.0056","1.9291","2.0392","1.8123","935.48M","3.94%"
"May 13, 2021","1.9295","1.5676","1.9697","1.5004","2.05B","23.08%"
"May 12, 2021","1.5677","1.7632","1.8192","1.5498","805.11M","-11.10%"
"May 11, 2021","1.7635","1.6427","1.7779","1.5980","736.26M","7.33%"
"May 10, 2021","1.6431","1.7714","1.8226","1.5258","990.41M","-7.17%"
"May 09, 2021","1.7699","1.6207","1.8292","1.5765","882.67M","9.21%"
"May 08, 2021","1.6207","1.6533","1.6533","1.5623","560.14M","-1.97%"
"May 07, 2021","1.6532","1.6477","1.7450","1.5287","1.04B","0.32%"
"May 06, 2021","1.6478","1.4781","1.6996","1.4292","1.73B","11.49%"
"May 05, 2021","1.4780","1.2900","1.4931","1.2900","783.15M","14.66%"
"May 04, 2021","1.2890","1.2793","1.3074","1.2757","585.18M","-5.37%"
"May 03, 2021","1.3622","1.3267","1.3799","1.3215","390.15M","2.68%"
"May 02, 2021","1.3266","1.3514","1.3546","1.2952","325.32M","-1.87%"
"May 01, 2021","1.3518","1.3521","1.3676","1.3168","317.78M","-0.02%"
"Apr 30, 2021","1.3521","1.3069","1.3699","1.2876","459.62M","3.45%"
"Apr 29, 2021","1.3070","1.3369","1.4103","1.2681","817.53M","-2.24%"
"Apr 28, 2021","1.3369","1.3075","1.3485","1.2350","575.49M","2.21%"
"Apr 27, 2021","1.3079","1.2348","1.3326","1.2263","579.44M","5.95%"
"Apr 26, 2021","1.2345","1.0901","1.2499","1.0820","713.34M","13.27%"
"Apr 25, 2021","1.0899","1.1027","1.1460","1.0204","505.26M","-1.11%"
"Apr 24, 2021","1.1021","1.1567","1.1961","1.0960","813.89M","-4.73%"
"Apr 23, 2021","1.1568","1.1462","1.1660","0.9438","1.55B","0.92%"
"Apr 22, 2021","1.1463","1.2044","1.2787","1.1181","812.88M","-4.83%"
"Apr 21, 2021","1.2045","1.2674","1.2864","1.1989","611.42M","-4.96%"
"Apr 20, 2021","1.2674","1.1959","1.2811","1.1300","794.19M","5.98%"
"Apr 19, 2021","1.1959","1.2769","1.3231","1.1724","1.02B","-6.35%"
"Apr 18, 2021","1.2769","1.3708","1.3813","1.0791","1.43B","-6.85%"
"Apr 17, 2021","1.3709","1.4108","1.4568","1.3589","603.76M","-2.84%"
"Apr 16, 2021","1.4109","1.4787","1.5180","1.3360","901.35M","-4.58%"
"Apr 15, 2021","1.4787","1.4518","1.4919","1.4122","794.86M","1.86%"
"Apr 14, 2021","1.4517","1.4124","1.5566","1.3547","1.61B","2.78%"
"Apr 13, 2021","1.4124","1.3154","1.4367","1.2831","208.73M","7.36%"
"Apr 12, 2021","1.3155","1.2633","1.3494","1.2633","873.74M","4.15%"
"Apr 11, 2021","1.2631","1.2179","1.2898","1.1999","667.69M","3.71%"
"Apr 10, 2021","1.2179","1.2021","1.2509","1.1949","432.91M","1.33%"
"Apr 09, 2021","1.2019","1.2187","1.2289","1.1926","277.94M","-1.39%"
"Apr 08, 2021","1.2189","1.1724","1.2242","1.1705","394.52M","3.82%"
"Apr 07, 2021","1.1740","1.2519","1.2891","1.1601","742.13M","-6.22%"
"Apr 06, 2021","1.2519","1.2117","1.3370","1.1917","1.11B","3.32%"
"Apr 05, 2021","1.2117","1.1820","1.2251","1.1624","484.02M","2.51%"
"Apr 04, 2021","1.1819","1.1633","1.1927","1.1534","370.27M","1.60%"
"Apr 03, 2021","1.1633","1.1903","1.2406","1.1600","531.51M","-2.26%"
"Apr 02, 2021","1.1903","1.1828","1.2438","1.1813","431.79M","0.63%"
"Apr 01, 2021","1.1828","1.1915","1.2075","1.1730","367.82M","-0.72%"
"Mar 31, 2021","1.1913","1.2128","1.2128","1.1565","466.52M","-1.76%"
"Mar 30, 2021","1.2126","1.2027","1.2344","1.1900","397.50M","0.82%"
"Mar 29, 2021","1.2028","1.1897","1.2292","1.1789","401.46M","1.12%"
"Mar 28, 2021","1.1895","1.1767","1.2191","1.1674","394.82M","1.08%"
"Mar 27, 2021","1.1768","1.2145","1.2370","1.1577","474.01M","-3.10%"
"Mar 26, 2021","1.2145","1.0964","1.2856","1.0955","1.05B","10.76%"
"Mar 25, 2021","1.0964","1.0677","1.1472","1.0485","699.56M","2.45%"
"Mar 24, 2021","1.0702","1.1151","1.1635","1.0401","499.18M","-4.14%"
"Mar 23, 2021","1.1163","1.1030","1.1728","1.0820","562.87M","1.17%"
"Mar 22, 2021","1.1035","1.1862","1.2076","1.0800","611.13M","-7.02%"
"Mar 21, 2021","1.1868","1.2005","1.2411","1.1608","514.59M","-1.13%"
"Mar 20, 2021","1.2004","1.2958","1.3081","1.2003","658.17M","-7.37%"
"Mar 19, 2021","1.2959","1.2313","1.3419","1.1835","1.26B","5.26%"
"Mar 18, 2021","1.2312","1.3776","1.4719","1.2247","2.04B","-10.61%"
"Mar 17, 2021","1.3774","1.2493","1.4283","1.2045","1.64B","10.26%"
"Mar 16, 2021","1.2493","1.0306","1.2632","1.0018","1.77B","21.18%"
"Mar 15, 2021","1.0310","1.0552","1.0703","1.0011","657.33M","-2.29%"
"Mar 14, 2021","1.0551","1.1013","1.1019","1.0551","553.68M","-4.19%"
"Mar 13, 2021","1.1013","1.0321","1.1880","0.9881","977.08M","6.71%"
"Mar 12, 2021","1.0321","1.1243","1.1270","1.0298","642.18M","-8.19%"
"Mar 11, 2021","1.1242","1.1334","1.1390","1.1089","477.61M","-0.79%"
"Mar 10, 2021","1.1331","1.1971","1.2069","1.1180","626.55M","-5.35%"
"Mar 09, 2021","1.1972","1.1185","1.2184","1.1126","898.49M","7.04%"
"Mar 08, 2021","1.1185","1.1314","1.1780","1.1067","625.53M","-1.19%"
"Mar 07, 2021","1.1319","1.1294","1.1444","1.1070","445.10M","0.25%"
"Mar 06, 2021","1.1290","1.1583","1.1816","1.0867","757.08M","-2.52%"
"Mar 05, 2021","1.1582","1.1125","1.1957","1.0379","1.31B","4.11%"
"Mar 04, 2021","1.1125","1.2144","1.2299","1.0684","1.10B","-8.39%"
"Mar 03, 2021","1.2143","1.2245","1.2655","1.2090","707.02M","-0.84%"
"Mar 02, 2021","1.2246","1.2962","1.2990","1.1823","1.10B","-5.52%"
"Mar 01, 2021","1.2962","1.3118","1.3441","1.2331","1.61B","-0.88%"
"Feb 28, 2021","1.3077","1.3166","1.3585","1.1586","2.49B","-0.68%"
"Feb 27, 2021","1.3166","1.2416","1.4841","1.2305","3.07B","6.04%"
"Feb 26, 2021","1.2416","1.0751","1.2950","0.9930","2.73B","15.48%"
"Feb 25, 2021","1.0752","1.0486","1.1733","1.0128","1.56B","2.58%"
"Feb 24, 2021","1.0481","0.9638","1.0751","0.8996","1.67B","8.73%"
"Feb 23, 2021","0.9640","1.0973","1.1405","0.8115","2.65B","-12.12%"
"Feb 22, 2021","1.0969","1.0998","1.1445","0.8389","2.03B","-0.27%"
"Feb 21, 2021","1.0998","1.1156","1.1497","1.0750","1.18B","-1.46%"
"Feb 20, 2021","1.1161","0.9260","1.1971","0.9142","279.64M","20.55%"
"Feb 19, 2021","0.9259","0.9137","0.9454","0.8808","839.10M","1.33%"
"Feb 18, 2021","0.9138","0.8917","0.9566","0.8917","904.68M","2.47%"
"Feb 17, 2021","0.8917","0.8704","0.8971","0.8239","750.02M","2.45%"
"Feb 16, 2021","0.8704","0.8599","0.9051","0.8348","929.87M","1.19%"
"Feb 15, 2021","0.8602","0.8444","0.9104","0.6891","1.44B","1.87%"
"Feb 14, 2021","0.8444","0.9124","0.9187","0.8082","874.61M","-7.32%"
"Feb 13, 2021","0.9111","0.9248","0.9500","0.8251","993.01M","-1.48%"
"Feb 12, 2021","0.9249","0.9293","0.9474","0.8680","1.08B","-0.48%"
"Feb 11, 2021","0.9293","0.9404","0.9791","0.8668","1.77B","-1.18%"
"Feb 10, 2021","0.9404","0.7058","0.9496","0.7058","2.50B","33.23%"
"Feb 09, 2021","0.7058","0.6778","0.7119","0.6660","1.12B","4.20%"
"Feb 08, 2021","0.6774","0.6626","0.7227","0.6339","2.06B","2.24%"
"Feb 07, 2021","0.6626","0.6339","0.7067","0.5858","2.60B","4.53%"
"Feb 06, 2021","0.6339","0.5387","0.6658","0.5209","2.08B","17.52%"
"Feb 05, 2021","0.5393","0.4395","0.5594","0.4366","2.00B","22.71%"
"Feb 04, 2021","0.4395","0.4419","0.4496","0.4109","736.38M","-0.53%"
"Feb 03, 2021","0.4419","0.4258","0.4484","0.4154","1.10B","3.78%"
"Feb 02, 2021","0.4258","0.4084","0.4552","0.3891","2.25B","4.27%"
"Feb 01, 2021","0.4083","0.3451","0.4230","0.3334","1.32B","18.35%"
"Jan 31, 2021","0.3450","0.3636","0.3766","0.3382","662.74M","-5.12%"
"Jan 30, 2021","0.3636","0.3474","0.3755","0.3373","871.81M","4.61%"
"Jan 29, 2021","0.3476","0.3438","0.3679","0.3310","1.07B","1.12%"
"Jan 28, 2021","0.3437","0.3119","0.3552","0.3046","833.04M","10.19%"
"Jan 27, 2021","0.3120","0.3435","0.3438","0.3047","761.35M","-9.19%"
"Jan 26, 2021","0.3435","0.3431","0.3506","0.3247","627.44M","0.13%"
"Jan 25, 2021","0.3431","0.3531","0.3639","0.3407","752.02M","-2.85%"
"Jan 24, 2021","0.3532","0.3457","0.3688","0.3374","802.72M","2.20%"
"Jan 23, 2021","0.3456","0.3491","0.3575","0.3361","897.55M","-1.23%"
"Jan 22, 2021","0.3499","0.3078","0.3596","0.2810","1.53B","13.69%"
"Jan 21, 2021","0.3077","0.3755","0.3786","0.3000","1.29B","-18.05%"
"Jan 20, 2021","0.3755","0.3678","0.3765","0.3311","1.11B","2.10%"
"Jan 19, 2021","0.3678","0.3710","0.3847","0.3628","984.20M","-0.87%"
"Jan 18, 2021","0.3710","0.3813","0.3967","0.3648","1.24B","-2.70%"
"Jan 17, 2021","0.3813","0.3505","0.3971","0.3416","2.25B","8.56%"
"Jan 16, 2021","0.3512","0.3025","0.3667","0.3023","1.95B","16.10%"
"Jan 15, 2021","0.3025","0.3126","0.3310","0.2788","1.36B","-2.74%"
"Jan 14, 2021","0.3110","0.3127","0.3241","0.2986","-","-0.55%"
"Jan 13, 2021","0.3127","0.2887","0.3154","0.2713","1.17B","8.74%"
"Jan 12, 2021","0.2876","0.2759","0.3139","0.2641","1.87B","4.24%"
"Jan 11, 2021","0.2759","0.3017","0.3035","0.2303","2.02B","-8.74%"
"Jan 10, 2021","0.3023","0.3302","0.3405","0.2801","1.43B","-8.43%"
"Jan 09, 2021","0.3302","0.3039","0.3382","0.2962","1.34B","8.62%"
"Jan 08, 2021","0.3040","0.2980","0.3213","0.2647","2.23B","1.98%"
"Jan 07, 2021","0.2980","0.3328","0.3535","0.2800","2.42B","-10.44%"
"Jan 06, 2021","0.3328","0.2589","0.3470","0.2541","3.05B","28.66%"
"Jan 05, 2021","0.2586","0.2258","0.2639","0.2072","2.21B","14.52%"
"Jan 04, 2021","0.2258","0.2057","0.2396","0.1927","2.23B","9.82%"
"Jan 03, 2021","0.2057","0.1773","0.2096","0.1729","1.39B","15.97%"
"Jan 02, 2021","0.1773","0.1751","0.1845","0.1686","980.36M","1.31%"
"Jan 01, 2021","0.1750","0.1814","0.1846","0.1702","770.70M","-3.49%"
"Dec 31, 2020","0.1814","0.1840","0.1862","0.1758","731.46M","-1.44%"
"Dec 30, 2020","0.1840","0.1910","0.1932","0.1753","1.18B","-3.64%"
"Dec 29, 2020","0.1910","0.1764","0.1966","0.1736","2.11B","8.26%"
"Dec 28, 2020","0.1764","0.1546","0.1801","0.1530","1.29B","14.09%"
"Dec 27, 2020","0.1546","0.1583","0.1661","0.1496","1.18B","-2.33%"
"Dec 26, 2020","0.1583","0.1575","0.1624","0.1492","913.69M","0.51%"
"Dec 25, 2020","0.1575","0.1530","0.1669","0.1503","983.16M","2.96%"
"Dec 24, 2020","0.1530","0.1365","0.1545","0.1318","1.09B","12.07%"
"Dec 23, 2020","0.1365","0.1566","0.1578","0.1264","1.20B","-12.86%"
"Dec 22, 2020","0.1567","0.1527","0.1610","0.1491","777.26M","2.59%"
"Dec 21, 2020","0.1527","0.1620","0.1661","0.1479","700.21M","-5.74%"
"Dec 20, 2020","0.1620","0.1643","0.1689","0.1579","571.96M","-1.40%"
"Dec 19, 2020","0.1643","0.1650","0.1705","0.1630","570.48M","-0.44%"
"Dec 18, 2020","0.1650","0.1634","0.1694","0.1587","705.00M","0.98%"
"Dec 17, 2020","0.1634","0.1682","0.1760","0.1608","1.11B","-2.84%"
"Dec 16, 2020","0.1682","0.1538","0.1683","0.1492","756.99M","9.35%"
"Dec 15, 2020","0.1538","0.1582","0.1600","0.1529","439.64M","-2.84%"
"Dec 14, 2020","0.1583","0.1541","0.1584","0.1496","363.18M","2.77%"
"Dec 13, 2020","0.1540","0.1443","0.1566","0.1430","525.60M","6.79%"
"Dec 12, 2020","0.1443","0.1392","0.1472","0.1391","411.01M","3.62%"
"Dec 11, 2020","0.1392","0.1417","0.1428","0.1349","505.09M","-1.73%"
"Dec 10, 2020","0.1417","0.1480","0.1486","0.1396","489.74M","-4.26%"
"Dec 09, 2020","0.1480","0.1413","0.1501","0.1300","853.86M","4.75%"
"Dec 08, 2020","0.1413","0.1540","0.1549","0.1383","687.63M","-8.30%"
"Dec 07, 2020","0.1540","0.1587","0.1589","0.1515","413.79M","-2.91%"
"Dec 06, 2020","0.1587","0.1599","0.1626","0.1532","494.18M","-0.79%"
"Dec 05, 2020","0.1599","0.1478","0.1618","0.1462","614.13M","8.19%"
"Dec 04, 2020","0.1478","0.1641","0.1645","0.1464","750.34M","-9.92%"
"Dec 03, 2020","0.1641","0.1587","0.1682","0.1557","705.56M","3.44%"
"Dec 02, 2020","0.1587","0.1557","0.1597","0.1509","811.58M","2.00%"
"Dec 01, 2020","0.1555","0.1721","0.1743","0.1438","1.66B","-9.61%"
"Nov 30, 2020","0.1721","0.1665","0.1736","0.1601","1.46B","3.36%"
"Nov 29, 2020","0.1665","0.1649","0.1710","0.1574","1.43B","0.94%"
"Nov 28, 2020","0.1649","0.1415","0.1720","0.1391","1.77B","16.59%"
"Nov 27, 2020","0.1415","0.1385","0.1452","0.1308","1.22B","2.14%"
"Nov 26, 2020","0.1385","0.1552","0.1603","0.1207","2.26B","-10.78%"
"Nov 25, 2020","0.1552","0.1670","0.1753","0.1476","1.62B","-7.05%"
"Nov 24, 2020","0.1670","0.1693","0.1826","0.1519","2.53B","8.06%"
"Nov 23, 2020","0.1545","0.1457","0.1589","0.1414","2.05B","6.10%"
"Nov 22, 2020","0.1457","0.1335","0.1533","0.1201","2.69B","9.07%"
"Nov 21, 2020","0.1335","0.1184","0.1346","0.1164","1.50B","12.84%"
"Nov 20, 2020","0.1183","0.1059","0.1189","0.1056","720.77M","11.77%"
"Nov 19, 2020","0.1059","0.1065","0.1081","0.1045","449.27M","-0.61%"
"Nov 18, 2020","0.1065","0.1095","0.1115","0.1023","692.60M","-2.72%"
"Nov 17, 2020","0.1095","0.1039","0.1122","0.1036","662.41M","5.42%"
"Nov 16, 2020","0.1039","0.1006","0.1049","0.0995","342.83M","3.29%"
"Nov 15, 2020","0.1006","0.1041","0.1053","0.0986","380.82M","-3.35%"
"Nov 14, 2020","0.1041","0.1063","0.1072","0.1015","545.70M","-2.14%"
"Nov 13, 2020","0.1063","0.1046","0.1080","0.1041","424.38M","1.70%"
"Nov 12, 2020","0.1046","0.1060","0.1066","0.1026","386.56M","-1.35%"
"Nov 11, 2020","0.1060","0.1060","0.1088","0.1055","424.73M","0.00%"
"Nov 10, 2020","0.1060","0.1053","0.1091","0.1038","485.03M","0.61%"
"Nov 09, 2020","0.1053","0.1066","0.1080","0.1014","563.63M","-1.16%"
"Nov 08, 2020","0.1066","0.1013","0.1083","0.1000","503.32M","5.21%"
"Nov 07, 2020","0.1013","0.1091","0.1137","0.0991","1.08B","-7.08%"
"Nov 06, 2020","0.1090","0.0975","0.1100","0.0971","756.24M","11.77%"
"Nov 05, 2020","0.0975","0.0954","0.0980","0.0921","545.76M","2.20%"
"Nov 04, 2020","0.0954","0.0936","0.0962","0.0917","504.11M","1.95%"
"Nov 03, 2020","0.0936","0.0923","0.0940","0.0882","463.60M","1.46%"
"Nov 02, 2020","0.0923","0.0981","0.1000","0.0916","479.67M","-5.95%"
"Nov 01, 2020","0.0981","0.0930","0.0986","0.0926","68.03M","5.51%"
"Oct 31, 2020","0.0930","0.0933","0.0954","0.0921","402.66M","-0.36%"
"Oct 30, 2020","0.0933","0.0954","0.0956","0.0897","573.50M","-2.21%"
"Oct 29, 2020","0.0954","0.0987","0.1007","0.0949","519.80M","-3.41%"
"Oct 28, 2020","0.0988","0.1026","0.1033","0.0954","559.72M","-3.74%"
"Oct 27, 2020","0.1026","0.1031","0.1056","0.1019","399.49M","-0.43%"
"Oct 26, 2020","0.1031","0.1064","0.1075","0.0991","455.16M","-3.10%"
"Oct 25, 2020","0.1064","0.1080","0.1087","0.1061","260.65M","-1.52%"
"Oct 24, 2020","0.1080","0.1081","0.1098","0.1073","328.29M","-0.07%"
"Oct 23, 2020","0.1081","0.1108","0.1120","0.1054","385.50M","-2.44%"
"Oct 22, 2020","0.1108","0.1059","0.1127","0.1052","517.21M","4.47%"
"Oct 21, 2020","0.1060","0.1023","0.1085","0.1014","582.73M","3.69%"
"Oct 20, 2020","0.1023","0.1086","0.1088","0.1009","635.03M","-5.93%"
"Oct 19, 2020","0.1087","0.1073","0.1110","0.1061","402.60M","1.27%"
"Oct 18, 2020","0.1073","0.1059","0.1076","0.1051","253.57M","1.28%"
"Oct 17, 2020","0.1060","0.1041","0.1072","0.1032","347.45M","1.90%"
"Oct 16, 2020","0.1040","0.1066","0.1073","0.1023","73.15M","-2.49%"
"Oct 15, 2020","0.1067","0.1071","0.1076","0.1046","449.88M","-0.38%"
"Oct 14, 2020","0.1071","0.1093","0.1123","0.1053","675.41M","-2.08%"
"Oct 13, 2020","0.1093","0.1095","0.1142","0.1077","864.29M","-0.17%"
"Oct 12, 2020","0.1095","0.1065","0.1134","0.1023","817.34M","2.86%"
"Oct 11, 2020","0.1065","0.1050","0.1090","0.1042","636.86M","1.44%"
"Oct 10, 2020","0.1050","0.1013","0.1111","0.1013","1.01B","3.60%"
"Oct 09, 2020","0.1013","0.0962","0.1025","0.0949","610.83M","5.34%"
"Oct 08, 2020","0.0962","0.0937","0.0971","0.0900","522.49M","2.61%"
"Oct 07, 2020","0.0937","0.0929","0.0944","0.0895","415.84M","0.89%"
"Oct 06, 2020","0.0929","0.0975","0.0986","0.0915","563.64M","-4.67%"
"Oct 05, 2020","0.0975","0.0968","0.0994","0.0959","506.97M","0.67%"
"Oct 04, 2020","0.0968","0.0933","0.0980","0.0921","403.64M","3.79%"
"Oct 03, 2020","0.0933","0.0928","0.0952","0.0922","373.34M","0.53%"
"Oct 02, 2020","0.0928","0.0980","0.1002","0.0899","794.85M","-5.33%"
"Oct 01, 2020","0.0980","0.1013","0.1045","0.0951","633.98M","-3.29%"
"Sep 30, 2020","0.1013","0.1011","0.1016","0.0968","519.54M","0.26%"
"Sep 29, 2020","0.1011","0.1004","0.1035","0.0975","627.55M","0.65%"
"Sep 28, 2020","0.1004","0.1013","0.1066","0.1001","788.73M","-0.85%"
"Sep 27, 2020","0.1013","0.0955","0.1024","0.0943","716.50M","6.11%"
"Sep 26, 2020","0.0955","0.0969","0.0997","0.0924","678.24M","-1.49%"
"Sep 25, 2020","0.0969","0.0825","0.0985","0.0824","1.17B","17.40%"
"Sep 24, 2020","0.0825","0.0766","0.0837","0.0756","641.68M","7.77%"
"Sep 23, 2020","0.0766","0.0815","0.0828","0.0756","493.21M","-5.98%"
"Sep 22, 2020","0.0815","0.0797","0.0833","0.0793","527.85M","2.22%"
"Sep 21, 2020","0.0797","0.0893","0.0901","0.0775","806.98M","-10.76%"
"Sep 20, 2020","0.0893","0.0914","0.0922","0.0876","385.33M","-2.31%"
"Sep 19, 2020","0.0914","0.0910","0.0931","0.0905","342.09M","0.38%"
"Sep 18, 2020","0.0911","0.0941","0.0941","0.0897","234.73M","-3.19%"
"Sep 17, 2020","0.0941","0.0914","0.0946","0.0908","539.47M","2.93%"
"Sep 16, 2020","0.0914","0.0931","0.0933","0.0897","637.88M","-1.83%"
"Sep 15, 2020","0.0931","0.0966","0.0979","0.0929","549.79M","-3.65%"
"Sep 14, 2020","0.0966","0.0950","0.0980","0.0931","552.29M","1.69%"
"Sep 13, 2020","0.0950","0.0977","0.0997","0.0926","452.10M","-2.70%"
"Sep 12, 2020","0.0977","0.0969","0.0984","0.0945","349.31M","0.75%"
"Sep 11, 2020","0.0969","0.0970","0.0975","0.0931","456.90M","-0.08%"
"Sep 10, 2020","0.0970","0.0933","0.0994","0.0933","579.55M","3.95%"
"Sep 09, 2020","0.0933","0.0910","0.0957","0.0893","459.46M","2.53%"
"Sep 08, 2020","0.0910","0.0936","0.0969","0.0885","725.15M","-2.73%"
"Sep 07, 2020","0.0936","0.0926","0.0941","0.0863","689.52M","1.05%"
"Sep 06, 2020","0.0926","0.0900","0.0956","0.0856","713.37M","2.92%"
"Sep 05, 2020","0.0900","0.1017","0.1039","0.0862","989.94M","-11.51%"
"Sep 04, 2020","0.1017","0.0948","0.1039","0.0928","1.24B","7.26%"
"Sep 03, 2020","0.0948","0.1149","0.1169","0.0928","982.10M","-17.54%"
"Sep 02, 2020","0.1149","0.1245","0.1264","0.1110","692.55M","-7.69%"
"Sep 01, 2020","0.1245","0.1225","0.1280","0.1191","647.01M","1.68%"
"Aug 31, 2020","0.1225","0.1175","0.1266","0.1131","805.51M","4.22%"
"Aug 30, 2020","0.1175","0.1162","0.1187","0.1137","438.73M","1.07%"
"Aug 29, 2020","0.1163","0.1093","0.1178","0.1082","430.43M","6.37%"
"Aug 28, 2020","0.1093","0.1072","0.1113","0.1061","498.13M","1.97%"
"Aug 27, 2020","0.1072","0.1144","0.1156","0.1022","734.80M","-6.31%"
"Aug 26, 2020","0.1144","0.1124","0.1181","0.1102","601.41M","1.79%"
"Aug 25, 2020","0.1124","0.1236","0.1239","0.1055","868.15M","-9.10%"
"Aug 24, 2020","0.1236","0.1214","0.1269","0.1201","403.13M","1.85%"
"Aug 23, 2020","0.1214","0.1253","0.1259","0.1195","365.80M","-3.09%"
"Aug 22, 2020","0.1253","0.1229","0.1262","0.1184","459.12M","1.90%"
"Aug 21, 2020","0.1229","0.1340","0.1342","0.1215","568.98M","-8.26%"
"Aug 20, 2020","0.1340","0.1296","0.1344","0.1261","465.46M","3.40%"
"Aug 19, 2020","0.1296","0.1370","0.1382","0.1266","632.39M","-5.39%"
"Aug 18, 2020","0.1370","0.1405","0.1439","0.1345","503.01M","-2.50%"
"Aug 17, 2020","0.1405","0.1388","0.1447","0.1374","652.12M","1.21%"
"Aug 16, 2020","0.1388","0.1384","0.1395","0.1350","373.36M","0.29%"
"Aug 15, 2020","0.1384","0.1383","0.1416","0.1365","468.83M","0.10%"
"Aug 14, 2020","0.1383","0.1394","0.1410","0.1375","437.03M","-0.80%"
"Aug 13, 2020","0.1394","0.1367","0.1419","0.1322","629.97M","1.99%"
"Aug 12, 2020","0.1367","0.1369","0.1378","0.1243","688.90M","-0.14%"
"Aug 11, 2020","0.1368","0.1439","0.1444","0.1318","577.55M","-4.87%"
"Aug 10, 2020","0.1439","0.1452","0.1465","0.1419","538.55M","-0.91%"
"Aug 09, 2020","0.1452","0.1468","0.1522","0.1421","680.86M","-1.09%"
"Aug 08, 2020","0.1468","0.1388","0.1475","0.1373","497.23M","5.77%"
"Aug 07, 2020","0.1388","0.1443","0.1470","0.1333","545.18M","-3.83%"
"Aug 06, 2020","0.1443","0.1422","0.1457","0.1400","443.60M","1.46%"
"Aug 05, 2020","0.1422","0.1433","0.1452","0.1403","460.38M","-0.73%"
"Aug 04, 2020","0.1433","0.1372","0.1479","0.1363","677.47M","4.41%"
"Aug 03, 2020","0.1372","0.1337","0.1391","0.1322","424.27M","2.61%"
"Aug 02, 2020","0.1337","0.1442","0.1482","0.1267","902.03M","-7.24%"
"Aug 01, 2020","0.1442","0.1388","0.1466","0.1383","674.87M","3.82%"
"Jul 31, 2020","0.1388","0.1405","0.1411","0.1359","416.19M","-1.15%"
"Jul 30, 2020","0.1405","0.1392","0.1425","0.1370","498.13M","0.89%"
"Jul 29, 2020","0.1392","0.1488","0.1497","0.1386","817.30M","-6.43%"
"Jul 28, 2020","0.1488","0.1387","0.1507","0.1349","1.18B","7.31%"
"Jul 27, 2020","0.1387","0.1482","0.1497","0.1304","1.72B","-6.42%"
"Jul 26, 2020","0.1482","0.1435","0.1542","0.1416","1.60B","3.24%"
"Jul 25, 2020","0.1435","0.1220","0.1456","0.1219","1.37B","17.68%"
"Jul 24, 2020","0.1220","0.1242","0.1243","0.1208","353.46M","-1.80%"
"Jul 23, 2020","0.1242","0.1238","0.1260","0.1237","410.78M","0.28%"
"Jul 22, 2020","0.1238","0.1231","0.1245","0.1205","352.25M","0.58%"
"Jul 21, 2020","0.1231","0.1178","0.1245","0.1169","512.49M","4.56%"
"Jul 20, 2020","0.1178","0.1240","0.1241","0.1161","438.33M","-4.99%"
"Jul 19, 2020","0.1239","0.1227","0.1247","0.1213","376.55M","1.03%"
"Jul 18, 2020","0.1227","0.1222","0.1247","0.1183","553.94M","0.36%"
